Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
0,2.441,0.054,3.52095,16.9865,40.6941,0.01
1,2.29,0.057,2.31495,39.9077,72.6748,0.01
2,2.297,0.059,1.85844,50.2674,80.8011,0.01
3,2.3,0.069,1.58742,57.6806,84.7227,0.01
4,2.307,0.076,1.34436,63.0701,88.5603,0.01
5,2.306,0.074,1.25426,66.1319,90.0493,0.01
6,2.306,0.075,1.08935,69.7704,91.6536,0.01
7,2.306,0.074,1.01103,71.7836,92.4714,0.01
8,2.294,0.062,0.9742,73.1781,93.0481,0.01
9,2.31,0.075,0.67442,81.0737,95.5542,0.001
10,2.309,0.074,0.54038,85.0687,97.0116,0.001
11,2.308,0.07,0.49707,85.6768,97.3052,0.001
12,2.308,0.074,0.46429,86.7673,97.4625,0.001
13,2.298,0.06,0.46145,87.1763,97.2633,0.001
0,2.999,0.029,4.51362,2.4012,10.9154,0.01
1,2.961,0.026,4.11422,4.4354,18.3076,0.01
0,3.01,0.021,4.476,3.1876,13.4948,0.01
1,2.972,0.023,3.72966,10.2024,30.9846,0.01
2,2.983,0.025,2.96035,23.1834,55.4996,0.01
3,2.989,0.027,2.08681,43.2316,77.2465,0.001
4,2.993,0.027,1.86697,47.7823,80.9269,0.001
5,2.988,0.027,1.66181,52.5847,84.9429,0.001
6,2.984,0.022,1.43333,59.4212,88.0675,0.001
7,2.988,0.026,1.28195,63.2694,89.9549,0.001
8,3.007,0.028,1.10474,67.9249,92.1044,0.001
9,2.96,0.021,0.98428,70.9762,93.8031,0.001
10,2.962,0.022,0.85238,74.9397,94.9984,0.001
11,2.959,0.023,0.61337,81.7658,97.0221,0.0001
12,2.961,0.022,0.56259,83.5168,97.4415,0.0001
13,2.967,0.023,0.52377,84.8904,97.5988,0.0001
14,2.97,0.028,0.49803,85.2784,98.0287,1e-05
15,2.984,0.027,0.49483,85.4147,97.9134,1e-05
16,2.959,0.021,0.49862,85.6559,97.6932,1.0000000000000002e-06
17,2.964,0.025,0.48093,85.5405,98.0392,1.0000000000000002e-06
0,2.373,0.105,3.68961,14.4909,35.6192,0.01
1,2.184,0.053,2.60987,33.5116,66.6562,0.01
2,2.192,0.062,2.11657,44.9827,76.0407,0.01
3,2.191,0.065,1.87986,50.152,80.3292,0.01
