Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
0,2.692,0.01,3.80341,22.7954,43.2841,0.0005
1,2.656,0.012,2.06787,60.0503,85.2679,0.0005
2,2.657,0.015,1.25598,75.4535,94.2749,0.0005
3,2.658,0.014,0.82781,84.5968,97.5779,0.0005
4,2.657,0.013,0.58014,89.2,98.8571,0.0005
5,2.658,0.014,0.46064,92.1044,99.4548,5e-05
4,2.708,0.011,0.4589,92.3037,99.3394,5e-05
5,2.67,0.014,0.44015,92.9013,99.5386,5e-05
6,2.671,0.014,0.43138,92.6811,99.2346,5e-05
0,1.604,0.01,3.98517,18.769,38.1986,0.0005
1,1.571,0.014,2.38668,54.8495,81.0632,0.0005
2,1.57,0.014,1.4931,71.1964,92.2722,0.0005
3,1.57,0.014,1.03074,80.0042,96.0575,0.0005
4,1.568,0.014,0.75924,85.0477,98.0078,0.0005
5,1.568,0.014,0.57612,89.3677,98.941,0.0005
6,1.569,0.014,0.45572,91.9262,99.3814,0.0005
7,1.571,0.014,0.37653,94.0233,99.5386,5e-05
8,1.574,0.015,0.36302,94.2015,99.633,5e-05
9,1.573,0.014,0.35193,94.6629,99.6016,5e-05
10,1.568,0.01,0.35254,94.0862,99.654,5e-05
0,1.639,0.014,4.35618,4.0789,15.8121,0.001
0,1.628,0.011,2.44746,38.6285,68.1975,0.0005
1,1.601,0.012,1.19897,65.723,91.2027,0.0005
2,1.605,0.016,0.81663,75.9568,95.7324,0.0005
3,1.606,0.015,0.59503,82.3844,97.3891,0.0005
4,1.602,0.012,0.47862,86.0333,98.2699,0.0005
0,2.735,0.011,3.79564,16.5566,36.8879,0.0005
1,2.708,0.016,1.60851,56.2126,84.0935,0.0005
2,2.704,0.016,0.94836,72.4966,93.8136,0.0005
3,2.681,0.011,0.69099,79.784,96.1623,0.0005
4,2.685,0.015,0.52409,84.4186,97.6932,0.0005
5,2.714,0.016,0.38266,88.5918,98.7732,5e-05
6,2.687,0.015,0.35915,89.7347,99.0563,5e-05
7,2.682,0.015,0.34326,89.8605,99.1402,5e-05
8,2.678,0.012,0.33154,90.3638,99.2136,5e-06
9,2.679,0.012,0.33698,90.2904,99.0668,5e-06
10,2.682,0.015,0.33714,90.1961,99.0144,5e-06
11,2.682,0.015,0.31978,90.6155,99.1507,5e-06
12,2.681,0.015,0.32912,90.626,99.2031,5e-06
13,2.682,0.015,0.33085,90.3953,99.0668,5e-06
14,2.671,0.015,0.32124,90.647,99.245,5e-06
15,2.67,0.015,0.33422,90.0598,99.0563,5e-06
16,2.667,0.015,0.32442,90.5421,99.1821,5.000000000000001e-07
17,2.667,0.015,0.3218,90.5526,99.0982,5.000000000000001e-07
0,2.719,0.01,2.64236,40.9982,63.1855,0.0005
1,2.692,0.014,0.80886,79.0395,96.2043,0.0005
2,2.7,0.015,0.44164,88.7386,98.9095,0.0005
3,2.7,0.016,0.30235,92.3037,99.3814,0.0005
4,2.696,0.011,0.21095,94.9565,99.7588,0.0005
5,2.696,0.012,0.14778,97.2738,99.7903,5e-05
6,2.7,0.016,0.145,97.1584,99.8532,5e-05
7,2.699,0.015,0.13134,97.5779,99.9371,5e-05
8,2.697,0.013,0.12929,97.5674,99.8742,5e-05
9,2.698,0.016,0.12565,97.6408,99.8951,5e-06
0,2.735,0.011,2.83853,35.5982,59.3583,0.0005
1,2.71,0.015,0.92195,76.5754,94.7887,0.0005
2,2.707,0.015,0.52792,86.2116,98.0287,0.0005
3,2.709,0.015,0.35312,91.0873,99.1821,0.0005
4,2.711,0.016,0.25338,93.7716,99.4967,0.0005
5,2.711,0.016,0.17909,95.9002,99.8427,5e-05
5,2.719,0.011,0.17224,96.5712,99.7798,5e-05
6,2.695,0.015,0.16277,96.6237,99.7693,5e-05
7,2.696,0.015,0.16038,96.6971,99.8008,5e-05
8,2.693,0.015,0.15446,96.9382,99.8637,5e-05
9,2.695,0.016,0.14856,97.0641,99.8322,5e-06
10,2.696,0.015,0.14693,97.0641,99.8637,5e-06
11,2.698,0.015,0.15022,96.9068,99.8742,5.000000000000001e-07
12,2.697,0.014,0.14313,97.3157,99.8217,5.000000000000001e-07
13,2.698,0.014,0.14951,97.0221,99.8742,5.000000000000001e-08
0,2.707,0.015,2.63866,41.7112,63.867,0.0005
1,2.672,0.017,0.79043,80.2139,96.2986,0.0005
2,2.667,0.013,0.42907,89.3782,98.8781,0.0005
3,2.672,0.017,0.29128,92.7231,99.5701,0.0005
4,2.67,0.016,0.21002,94.8936,99.7379,0.0005
5,2.67,0.016,0.16039,96.3615,99.7903,0.0005
6,2.664,0.012,0.11604,97.6198,99.8532,5e-05
7,2.662,0.015,0.10546,97.9658,99.9371,5e-05
8,2.66,0.012,0.10343,98.0707,99.979,5e-05
0,2.705,0.012,3.8604,15.0152,33.3858,0.0005
1,2.674,0.016,1.70516,56.0554,83.5902,0.0005
2,2.673,0.016,0.96612,73.9331,94.254,0.0005
3,2.661,0.016,0.6631,81.9545,96.8753,0.0005
4,2.661,0.017,0.48944,86.4737,98.3852,0.0005
5,2.662,0.016,0.39368,88.812,98.8676,0.0005
6,2.661,0.017,0.30431,91.706,99.2136,0.0005
7,2.662,0.016,0.24684,93.0691,99.5806,0.0005
8,2.673,0.016,0.21965,94.0547,99.654,0.0005
9,2.674,0.016,0.17891,95.1767,99.7693,0.0005
10,2.674,0.016,0.16944,95.3969,99.7169,0.0005
11,2.673,0.016,0.13207,96.6656,99.8742,5e-05
12,2.661,0.016,0.11695,97.0326,99.9161,5e-05
13,2.661,0.016,0.11234,97.3681,99.9161,5e-05
14,2.661,0.016,0.11821,97.1794,99.8532,5e-05
15,2.661,0.016,0.11105,97.452,99.8742,5e-06
16,2.661,0.016,0.11243,97.2109,99.9685,5e-06
17,2.662,0.016,0.11192,97.2633,99.8532,5e-06
18,2.663,0.016,0.11213,97.3472,99.8951,5e-06
19,2.663,0.016,0.10953,97.3786,99.9266,5.000000000000001e-07
20,2.663,0.016,0.10479,97.6303,99.9161,5.000000000000001e-07
0,2.786,0.014,4.74855,2.2544,8.7554,0.0005
1,2.781,0.013,3.52045,16.1057,40.5369,0.0005
2,2.799,0.017,2.30224,39.2157,71.6578,0.0005
3,2.781,0.011,1.62233,54.9229,85.1106,0.0005
4,2.793,0.012,1.21082,65.702,90.6679,0.0005
5,2.791,0.012,0.97508,71.448,93.887,0.0005
6,2.78,0.016,0.79799,76.5335,95.5437,0.0005
7,2.797,0.016,0.65705,80.5704,97.0326,0.0005
8,2.795,0.016,0.55375,83.7685,97.6198,0.0005
9,2.796,0.016,0.50161,84.9953,98.0078,0.0005
10,2.797,0.016,0.42647,87.0399,98.6369,0.0005
11,2.795,0.016,0.38101,88.2143,98.899,0.0005
12,2.796,0.016,0.33644,90.217,99.1192,0.0005
13,2.794,0.015,0.30197,90.8252,99.2346,0.0005
14,2.768,0.016,0.24307,92.9747,99.4023,5e-05
15,2.751,0.011,0.23341,93.1635,99.4443,5e-05
16,2.791,0.011,0.21281,94.0967,99.4967,5e-05
0,2.825,0.011,3.25047,27.1993,49.8899,0.0005
1,2.795,0.015,1.19141,69.0993,91.9157,0.0005
2,2.795,0.016,0.69305,81.5351,97.0116,0.0005
3,2.794,0.015,0.46981,87.1343,98.6788,0.0005
4,2.792,0.015,0.35064,90.0598,99.1507,0.0005
5,2.793,0.015,0.26527,92.9013,99.4757,0.0005
6,2.795,0.015,0.19738,95.0823,99.7379,0.0005
7,2.793,0.015,0.17635,95.1347,99.7903,0.0005
8,2.744,0.015,0.13001,96.9592,99.8637,5e-05
9,2.747,0.015,0.12587,96.9802,99.8742,5e-05
10,2.745,0.015,0.11768,97.0641,99.9161,5e-05
11,2.744,0.015,0.1115,97.5464,99.8847,5e-05
12,2.741,0.011,0.11038,97.5988,99.8742,5e-05
13,2.742,0.012,0.11004,97.6198,99.9266,5e-06
14,2.745,0.012,0.11165,97.4415,99.8847,5e-06
15,2.742,0.013,0.1082,97.473,99.9371,5e-06
16,2.739,0.011,0.10914,97.5045,99.9371,5e-06
17,2.707,0.011,0.1014,97.7666,99.9581,5.000000000000001e-07
18,2.709,0.012,0.10887,97.5779,99.9161,5.000000000000001e-07
19,2.711,0.01,0.11004,97.5569,99.8951,5.000000000000001e-07
0,2.953,0.014,2.88336,34.5496,57.3975,0.0005
